timestamp_ms,label,ax,ay,az,gx,gy,gz
1756361427244,LAYING,-0.11595,8.070001,-5.15595,-0.00275,-0.0020625,0.013062499
1756361427264,LAYING,-0.14400001,8.09895,-5.2369504,0.0165,-0.005225,0.0056375
1756361427284,LAYING,-0.13695,8.116051,-5.355,0.0207625,-0.01375,0.0045375
1756361427304,LAYING,-0.12795001,8.14005,-5.40705,0.0122375,-0.0169125,0.0034375
1756361427324,LAYING,-0.12795001,8.121,-5.41695,0.0089375,-0.004125,0.0056375
1756361427344,LAYING,-0.15900001,8.11095,-5.39295,0.0037125,-9.625E-4,0.001375
1756361427364,LAYING,-0.17805001,8.118,-5.37195,-0.00385,1.375E-4,0.002475
1756361427384,LAYING,-0.156,8.104051,-5.31195,-0.0081124995,0.010725,0.0067375
1756361427403,LAYING,-0.14400001,8.11305,-5.2450504,-0.010175,0.009625,0.001375
1756361427424,LAYING,-0.14400001,8.13,-5.2249503,-0.010175,-0.0031625,-0.0039875
1756361427443,LAYING,-0.17295001,8.17305,-5.2660503,-5.5E-4,-0.004125,-0.00825
1756361427464,LAYING,-0.19005,8.178,-5.32095,0.0100375,0.0044,-0.0028875
1756361427483,LAYING,-0.19695,8.15205,-5.29995,0.0037125,0.0033,0.001375
1756361427507,LAYING,-0.19695,8.154,-5.2759504,-0.00165,-0.0031625,0.002475
1756361427523,LAYING,-0.20400001,8.158951,-5.30205,0.004675,1.375E-4,0.0045375
1756361427543,LAYING,-0.16605,8.142,-5.3380504,0.004675,-0.004125,0.0088
1756361427563,LAYING,-0.135,8.121,-5.3310003,-0.00165,-0.0083875,0.011
1756361427583,LAYING,-0.13695,8.109,-5.33295,0.0026125,0.0033,0.0099
1756361427603,LAYING,-0.120000005,8.08695,-5.3760004,0.0111375,0.011825,0.0099
1756361427623,LAYING,-0.11595,8.085,-5.33295,-5.5E-4,0.0053625,0.0034375
1756361427643,LAYING,-0.10395,8.106,-5.30205,-0.009075,1.375E-4,2.75E-4
1756361427663,LAYING,-0.108,8.13,-5.2710004,-0.00385,0.0075625,-0.0017875
1756361427683,LAYING,-0.11100001,8.158951,-5.2759504,-5.5E-4,0.0075625,-8.25E-4
1756361427703,LAYING,-0.11595,8.15205,-5.2540503,-0.00165,1.375E-4,-8.25E-4
1756361427723,LAYING,-0.112950005,8.134951,-5.2540503,4.125E-4,-0.0031625,0.001375
1756361427742,LAYING,-0.147,8.13,-5.24205,0.0037125,1.375E-4,-8.25E-4
1756361427762,LAYING,-0.17805001,8.154,-5.2930503,0.007975,-0.007425,-0.0017875
1756361427781,LAYING,-0.16395001,8.157001,-5.3380504,0.006875,-0.0105875,0.0045375
1756361427803,LAYING,-0.17295001,8.13,-5.307,0.004675,-0.0020625,0.0077
1756361427823,LAYING,-0.16395001,8.122951,-5.3190002,0.006875,-0.004125,0.0088
1756361427842,LAYING,-0.14895001,8.10105,-5.355,0.005775,-0.01375,0.0067375
1756361427862,LAYING,-0.14205001,8.09895,-5.3569503,-5.5E-4,-0.0191125,0.001375
1756361427882,LAYING,-0.10605001,8.08005,-5.367,4.125E-4,-0.01265,-0.0017875
1756361427903,LAYING,-0.13995,8.094001,-5.34495,-5.5E-4,-0.0020625,-0.0103124995
1756361427922,LAYING,-0.19500001,8.17305,-5.3689504,0.0026125,-0.0031625,-0.013612499
1756361427941,LAYING,-0.17805001,8.179951,-5.38395,-0.00385,1.375E-4,0.001375
1756361427962,LAYING,-0.123,8.116051,-5.29995,-0.0166375,0.0022,0.014162499
1756361427983,LAYING,-0.108,8.104051,-5.235,-0.0209,-0.0094875,0.0077
